20 38
v 0 863.866 196.835
v 1 249.898 0
v 2 699.632 192.88
v 3 0 113.354
v 4 365.707 222.889
v 5 983.086 606.739
v 6 978.311 505.524
v 7 936.298 171.6
v 8 886.237 255.763
v 9 96.9854 278.134
v 10 691.174 354.113
v 11 762.243 390.533
v 12 587.232 363.388
v 13 574.41 276.224
v 14 811.076 364.616
v 15 778.339 89.8922
v 16 983.495 705.77
v 17 963.17 488.337
v 18 1000 642.886
v 19 750.102 484.381
e 6 17 22.9054
e 5 18 39.9095
e 11 14 55.2851
e 0 8 63.0313
e 16 18 65.0137
e 0 7 76.7022
e 10 11 79.857
e 12 13 88.1022
e 11 19 94.63
e 5 6 101.327
e 10 12 104.355
e 2 15 129.619
e 8 14 132.28
e 0 15 136.937
e 3 9 191.203
e 14 17 196.06
e 4 13 215.41
e 1 4 251.18
e 4 9 274.342
e 7 8 97.9264
e 5 16 99.0324
e 5 17 120.065
e 10 14 120.361
e 14 19 134.393
e 6 18 139.064
e 10 13 140.359
e 2 13 150.422
e 17 18 158.877
e 0 2 164.282
e 11 12 177.103
e 7 15 177.841
e 8 11 183.132
e 2 8 196.916
e 17 19 213.105
e 4 12 262.323
e 1 3 274.405
e 1 9 317.397
e 3 4 381.759
